12:19:09:984,997
12:19:10:973,1014
12:19:11:973,17
12:19:12:973,3
12:19:13:967,1001
12:19:14:967,997
12:19:15:968,994
12:19:16:966,1003
12:19:17:967,1026
12:19:18:966,9
12:19:19:966,10
12:19:20:967,999
12:19:21:976,1006
12:19:22:966,1009
12:19:23:967,996
12:19:24:966,997
12:19:25:966,994
12:19:26:973,1018
12:19:27:982,995
12:19:28:968,989
12:19:29:970,3
12:19:30:970,1010
12:19:31:965,998
12:19:32:966,998
12:19:33:965,997
12:19:34:965,1024
12:19:36:966,2143
12:19:37:971,81
12:19:38:969,94
12:19:39:970,86
12:19:40:973,90
12:19:41:971,65
12:19:42:971,76
12:19:43:967,90
12:19:44:968,93
12:19:45:967,82
12:19:46:967,97
12:19:47:966,84
12:19:48:967,81
12:19:49:967,87
12:19:50:967,94
12:19:51:968,95
12:19:52:967,999
12:19:53:967,983
12:19:54:968,9
12:19:55:967,998
12:19:56:966,6
12:19:58:969,993
12:19:59:967,1021
12:20:00:966,8
12:20:01:970,997
12:20:02:970,5
12:20:03:968,6
12:20:04:969,978
12:20:05:968,5
12:20:06:966,8
12:20:07:966,1000
12:20:08:967,1005
12:20:09:973,1018
12:20:10:968,11
12:20:11:966,8
12:20:12:968,2
12:20:13:967,1019
12:20:14:967,1000
12:20:15:967,994
12:20:16:966,12
12:20:17:966,1
12:20:18:967,1005
12:20:19:966,13
12:20:20:967,6
12:20:21:966,1012
12:20:22:967,16
12:20:23:967,9
12:20:24:967,996
12:20:25:967,994
12:20:26:967,6
12:20:27:967,1000
12:20:28:967,16
12:20:29:967,993
12:20:30:971,1014
12:20:31:967,2
12:20:32:968,999
12:20:33:970,997
12:20:34:968,1002
12:20:35:968,995
12:20:36:970,1000
12:20:37:967,973
12:20:38:967,991
12:20:39:966,9
12:20:40:968,1010
12:20:41:966,11
12:20:42:967,993
12:20:43:966,5
12:20:44:969,1012
12:20:45:966,1
12:20:46:969,1008
12:20:47:967,995
12:20:49:967,3
12:20:50:966,1
12:20:51:967,3
12:20:53:967,984
12:20:54:967,6
12:20:55:967,1004
12:20:56:966,10
12:20:57:967,999
12:20:58:966,996
12:20:59:967,8
12:21:00:968,3
12:21:01:968,1019
12:21:02:967,991
12:21:03:967,992
12:21:04:968,5
12:21:05:967,1015
12:21:06:970,991
12:21:07:966,987
12:21:08:966,1
12:21:09:966,978
12:21:10:966,8
12:21:11:970,2
12:21:12:968,1012
12:21:13:967,4
12:21:14:969,1010
12:21:15:967,4
12:21:16:968,997
12:21:17:966,5
12:21:18:968,994
12:21:19:966,10
12:21:20:968,3
12:21:21:967,1016
12:21:22:966,12
12:21:23:967,10
12:21:24:966,1029
12:21:25:963,997
12:21:26:964,1008
12:21:27:963,997
12:21:28:963,1013
12:21:29:964,998
12:21:30:963,4
12:21:31:964,2
12:21:32:963,4
12:21:33:964,996
12:21:34:963,1003
12:21:35:964,17
12:21:36:962,995
12:21:37:962,995
12:21:38:964,997
12:21:39:962,2
12:21:45:963,1016
